id,name,startTime,endTime,category
97,Danish Soccer/Division 2 East/Fixtures 06 September/B 1908 v B93,2014-09-06 11:00:00,2014-09-06 12:53:00,soccer
98,Danish Soccer/Division 2 East/Fixtures 06 September/BSV v Frem,2014-09-06 13:00:00,2014-09-06 14:52:30,soccer
99,Danish Soccer/Division 2 East/Fixtures 06 September/HIK v Fremad Amager,2014-09-06 11:00:00,2014-09-06 12:50:19,soccer
100,Danish Soccer/Division 2 East/Fixtures 07 September/FC Helsingor v GVI,2014-09-07 11:00:00,2014-09-07 12:51:21,soccer
101,Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Almere City (youth) v Jong NEC Oss,2014-09-01 16:30:00,2014-09-01 18:26:45,soccer
102,Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Jong AZ Alkmaar v Jong Heracles,2014-09-01 16:30:00,2014-09-01 18:20:23,soccer
103,Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Jong PEC Zwolle v Jong Groningen,2014-09-01 16:30:00,2014-09-01 18:19:58,soccer
104,Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Jong VVV Helmond Sport v Jong NAC Breda,2014-09-01 16:30:00,2014-09-01 18:26:25,soccer
105,Ecuadorian Soccer/Ecuadorian Primera A/Fixtures 06 September/Deportivo Cuenca v Univ Catolica (Ecu),2014-09-06 01:00:00,2014-09-06 02:54:07,soccer
106,English Soccer/Conference North/Fixtures 06 September/Hednesford v Stockport,2014-09-06 14:00:00,2014-09-06 15:54:02,soccer
107,English Soccer/Johnstones Paint Trophy/Fixtures 02 September/AFC Wimbledon v Southend,2014-09-02 18:45:00,2014-09-02 20:40:46,soccer
108,English Soccer/Johnstones Paint Trophy/Fixtures 02 September/Accrington S v Carlisle,2014-09-02 18:45:00,2014-09-02 20:38:32,soccer
109,English Soccer/Johnstones Paint Trophy/Fixtures 02 September/Barnsley v York City,2014-09-02 18:45:00,2014-09-02 20:39:50,soccer
110,English Soccer/Johnstones Paint Trophy/Fixtures 02 September/Cheltenham v Oxford Utd,2014-09-02 18:45:00,2014-09-02 20:39:55,soccer
111,English Soccer/Johnstones Paint Trophy/Fixtures 02 September/Crewe v Rochdale,2014-09-02 18:30:00,2014-09-02 20:21:28,soccer
112,English Soccer/Johnstones Paint Trophy/Fixtures 02 September/Oldham v Bradford,2014-09-02 18:30:00,2014-09-02 20:16:50,soccer
113,English Soccer/Johnstones Paint Trophy/Fixtures 02 September/Peterborough v Leyton Orient,2014-09-02 18:45:00,2014-09-02 20:39:34,soccer
114,English Soccer/Johnstones Paint Trophy/Fixtures 02 September/Preston v Shrewsbury,2014-09-02 18:45:00,2014-09-02 20:41:35,soccer
115,English Soccer/Johnstones Paint Trophy/Fixtures 02 September/Scunthorpe v Chesterfield,2014-09-02 18:45:00,2014-09-02 20:41:55,soccer
116,English Soccer/Johnstones Paint Trophy/Fixtures 02 September/Stevenage v Gillingham,2014-09-02 18:45:00,2014-09-02 20:39:02,soccer
117,English Soccer/Johnstones Paint Trophy/Fixtures 02 September/Wycombe v Coventry,2014-09-02 18:45:00,2014-09-02 20:40:22,soccer
118,English Soccer/Johnstones Paint Trophy/Fixtures 02 September/Yeovil v Portsmouth,2014-09-02 18:45:00,2014-09-02 20:40:59,soccer
